group3,period,mean_index,mean_injuries,total_injuries,mean_n_roads
CAZ roads,Lockdown,NA,7.358351729212656e-4,1,1359
CAZ roads,Post-recovery / CAZ era,NA,0.011857458831834394,2748.97815,19517.833333333332
CAZ roads,Recovery,NA,0.013321101998307622,204.65209,5121
Other roads,Earlier pre-period,124.11761671397556,0.015396139717500005,7454.45674,28481
Other roads,Lockdown,55.86062054775911,0.006929217152481073,781.48011,28141.5
Other roads,Post-recovery / CAZ era,108.45902044671676,0.013453772934336541,1370.5605600000001,9026.166666666666
Other roads,Pre-COVID baseline,100,0.012404475790878128,1413.1675,28481
Other roads,Recovery,105.80957683701372,0.013125123343177959,919.92677,23363
Same-city candidate controls,Earlier pre-period,115.57389539521675,0.006233144094794684,193057.35197,1821924
Same-city candidate controls,Lockdown,68.11642088369537,0.003673662336445978,26772.531069999997,1821923.75
Same-city candidate controls,Post-recovery / CAZ era,89.45724406963689,0.004824617970195554,105477.41704999999,1821861
Same-city candidate controls,Pre-COVID baseline,100,0.00539321104777148,39304.08258,1821924
Same-city candidate controls,Recovery,94.36385161450403,0.005089241670376117,27816.588819999997,1821921
